6.982937936610938978e-01,2.357672957016503368e-01,1.275599965742777453e-01,2.723404352035684317e-01,8.258245516755741145e-01
5.423371426314862465e-01,1.555277296167062451e-01,2.705568945085032873e-01,3.132935104073236721e-01,5.518754123032368897e-01
7.073910853346997429e-01,5.384904175866090936e-01,8.191501463822462581e-01,8.566593062075034126e-01,9.389791738351984662e-01
4.656011630784013811e-01,5.214462955247447518e-01,5.740684347405999866e-02,4.592925507165298571e-01,8.046285322925011974e-01
6.762269161245654248e-01,8.001623703042087810e-01,6.676190294860524510e-01,5.934469624957507961e-01,4.835606119597078978e-01
2.900548065151148380e-01,6.292095874065765093e-01,2.221056622652625157e-01,4.306326641975348757e-01,7.553904361067160789e-01
1.365789466804282482e-01,4.547584891062843582e-01,4.857237171552334365e-01,4.694844331018284134e-01,4.229731339747623275e-01
7.192605386255270794e-01,3.533049332773915419e-01,1.399875699797819006e-01,7.452427654530707768e-01,2.296642411555904761e-02
9.204751708879271854e-01,2.692636818858279435e-01,7.645226243077622996e-01,1.058727430549167847e-01,1.955350964845784523e-01
8.112714944109655768e-02,1.989684682097894175e-01,6.187095906278281543e-01,5.151275916683151213e-02,1.624843484011418981e-01
