5.233259797343503550e-02,9.784802975644077971e-01,1.776666180098420700e-01,5.900466935013236602e-01,2.171185335175028763e-01
4.406652642525022978e-01,1.703093325195890184e-01,5.760760637487739588e-01,6.451514836153782184e-02,3.024247338136709651e-01
7.502385287119727186e-01,2.643311769141345469e-01,4.642928253323195253e-01,6.404201336898355246e-01,7.189315019564391784e-01
4.790899923822236062e-01,4.398094393846208039e-02,6.457636734390510558e-01,1.906461194988517960e-01,1.122299490310448844e-01
6.212718146983819967e-02,1.817632372214996739e-01,2.272714892326350711e-01,7.651978643901911070e-01,3.486146265628653484e-02
5.633515178713169869e-01,5.809498414686614653e-01,1.872030114639431364e-01,7.806564780166853623e-01,1.773003917365059134e-01
5.741424957224887660e-01,5.881979850249995367e-01,2.350914662881287143e-01,9.242836299206359518e-01,3.672472913453960208e-01
7.256107865220684516e-02,3.528342136136375373e-01,2.561158284059967816e-01,4.553876899525188815e-02,4.674840102065146441e-01
2.508392937081701524e-01,8.609015701717628311e-01,4.034646238051387002e-04,9.468447697907906857e-01,2.340994653547856519e-01
6.510393288375123655e-01,4.772699349895301868e-01,2.134501826583384831e-01,6.586984699998036374e-01,8.796809569424002273e-01
